From,To,Relationship
D33,D33_K1,Gồm
D33_K1,D33_K1_Da,Gồm
D33_K1,D33_K1_Db,Gồm
D33_K1,D33_K1_Dc,Gồm
D33,D33_K2,Gồm
D33_K2,D33_K2_Da,Gồm
D33_K2,D33_K2_Db,Gồm
D33_K2,D33_K2_Dc,Gồm
D33,D33_K3,Gồm
D35,D35_K1,Gồm
D35_K1,D35_K1_Da,Gồm
D35_K1,D35_K1_Db,Gồm
D35,D35_K2,Gồm
D35,D35_K3,Gồm
D35,D35_K4,Gồm
D36,D36_K1,Gồm
D36,D36_K2,Gồm
D36,D36_K3,Gồm
D36,D36_K4,Gồm
D38,D38_K1,Gồm
D38,D38_K2,Gồm
D40,D40_K1,Gồm
D40,D40_K2,Gồm
D40,D40_K3,Gồm
D40_K3,D40_K3_Da,Gồm
D40_K3,D40_K3_Db,Gồm
D40_K3,D40_K3_Dc,Gồm
D40,D40_K4,Gồm
D44,D44_K1,Gồm
D44_K1,D44_K1_Da,Gồm
D44_K1,D44_K1_Db,Gồm
D44,D44_K2,Gồm
D46,D46_K1,Gồm
D46_K1,D46_K1_Da,Gồm
D46_K1,D46_K1_Db,Gồm
D46_K1,D46_K1_Dc,Gồm
D46,D46_K2,Gồm
D46_K2,D46_K2_Da,Gồm
D46_K2,D46_K2_Db,Gồm
D46_K2,D46_K2_Dc,Gồm
D46_K2,D46_K2_Dd,Gồm
D47,D47_K1,Gồm
D47_K1,D47_K1_Da,Gồm
D47_K1,D47_K1_Db,Gồm
D47_K1,D47_K1_Dc,Gồm
D47,D47_K2,Gồm
D47,D47_K3,Gồm
D48,D48_K1,Gồm
D48,D48_K2,Gồm
D49,D49_K1,Gồm
D49,D49_K2,Gồm
D49,D49_K3,Gồm
D50,D50_K1,Gồm
D50,D50_K2,Gồm
D51,D51_K1,Gồm
D51_K1,D51_K1_Da,Gồm
D51_K1,D51_K1_Db,Gồm
D51_K1,D51_K1_Dc,Gồm
D51_K1,D51_K1_Dd,Gồm
D51_K1,D51_K1_De,Gồm
D51_K1,D51_K1_Dg,Gồm
D51_K1,D51_K1_Dh,Gồm
D51_K1,D51_K1_Di,Gồm
